,chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
74,2022-07-23,75,Silent Hill,Kendrick Lamar & Kodak Black,66,7,9
75,2022-07-23,76,Numb,Marshmello & Khalid,83,76,2
76,2022-07-23,77,Hotel Lobby (Unc And Phew),Quavo & Takeoff,72,59,8
77,2022-07-23,78,F.N.F. (Let's Go),Hitkidd & Glorilla,75,75,7
78,2022-07-23,79,Love Me More,Sam Smith,81,79,6
79,2022-07-23,80,Hold My Hand,Lady Gaga,65,49,10
80,2022-07-23,81,New Truck,Dylan Scott,78,78,5
81,2022-07-23,82,Wild As Her,Corey Kent,80,80,4
82,2022-07-23,83,Whiskey On You,Nate Smith,77,77,4
83,2022-07-23,84,Rolling Stone,Brent Faiyaz,-,84,1
84,2022-07-23,85,Bam Bam,Camila Cabello Featuring Ed Sheeran,63,21,19
85,2022-07-23,86,Last Last,Burna Boy,-,86,1
86,2022-07-23,87,Circles Around This Town,Maren Morris,79,52,25
87,2022-07-23,88,To The Moon!,JNR CHOI & Sam Tompkins,74,38,20
88,2022-07-23,89,Thought You Should Know,Morgan Wallen,88,12,10
89,2022-07-23,90,Unstoppable,Sia,98,90,2
90,2022-07-23,91,Ghetto Gatsby,Brent Faiyaz Featuring Alicia Keys,-,91,1
91,2022-07-23,92,She Likes It,Russell Dickerson & Jake Scott,90,63,15
92,2022-07-23,93,Heal Your Heart (Interlude),Brent Faiyaz,-,93,1
93,2022-07-23,94,Plan B,Megan Thee Stallion,91,29,7
94,2022-07-23,95,Un Ratito,Bad Bunny,85,16,10
95,2022-07-23,96,Ghost Story,Carrie Underwood,86,61,8
96,2022-07-23,97,FYTB,Brent Faiyaz Featuring Joony,-,97,1
97,2022-07-23,98,Wasting Time,Brent Faiyaz Featuring Drake,-,49,3
98,2022-07-23,99,Cash In Cash Out,"Pharrell Williams Featuring 21 Savage & Tyler, The Creator",84,26,5
99,2022-07-23,100,Te Felicito,Shakira & Rauw Alejandro,89,67,6
0,2022-07-30,1,About Damn Time,Lizzo,2,1,14
1,2022-07-30,2,As It Was,Harry Styles,1,1,16
2,2022-07-30,3,Running Up That Hill (A Deal With God),Kate Bush,4,3,28
3,2022-07-30,4,First Class,Jack Harlow,3,1,15
4,2022-07-30,5,Wait For U,Future Featuring Drake & Tems,5,1,12
5,2022-07-30,6,Me Porto Bonito,Bad Bunny & Chencho Corleone,6,6,11
6,2022-07-30,7,Break My Soul,Beyonce,9,7,5
7,2022-07-30,8,Heat Waves,Glass Animals,7,1,79
8,2022-07-30,9,Late Night Talking,Harry Styles,11,4,9
9,2022-07-30,10,Jimmy Cooks,Drake Featuring 21 Savage,8,1,5
10,2022-07-30,11,Big Energy,Latto,10,3,39
11,2022-07-30,12,I Like You (A Happier Song),Post Malone Featuring Doja Cat,14,9,7
12,2022-07-30,13,Wasted On You,Morgan Wallen,12,9,36
13,2022-07-30,14,Bad Habit,Steve Lacy,50,14,3
14,2022-07-30,15,Titi Me Pregunto,Bad Bunny,13,5,11
15,2022-07-30,16,Sunroof,Nicky Youre & dazy,17,16,8
16,2022-07-30,17,The Kind Of Love We Make,Luke Combs,19,13,5
17,2022-07-30,18,Stay,The Kid LAROI & Justin Bieber,15,1,54
18,2022-07-30,19,Glimpse Of Us,Joji,16,8,6
19,2022-07-30,20,Numb Little Bug,Em Beihold,18,18,25
20,2022-07-30,21,Ghost,Justin Bieber,21,5,43
21,2022-07-30,22,Get Into It (Yuh),Doja Cat,20,20,33
22,2022-07-30,23,You Proof,Morgan Wallen,22,6,10
23,2022-07-30,24,Moscow Mule,Bad Bunny,27,4,11
24,2022-07-30,25,Bad Habits,Ed Sheeran,24,2,56
25,2022-07-30,26,She Had Me At Heads Carolina,Cole Swindell,25,25,8
26,2022-07-30,27,I Ain't Worried,OneRepublic,31,27,6
27,2022-07-30,28,Shivers,Ed Sheeran,33,4,45
28,2022-07-30,29,Cold Heart (PNAU Remix),Elton John & Dua Lipa,29,7,46
29,2022-07-30,30,Boyfriend,Dove Cameron,23,16,23
30,2022-07-30,31,Vegas,Doja Cat,32,31,7
31,2022-07-30,32,Sticky,Drake,28,6,5
32,2022-07-30,33,Something In The Orange,Zach Bryan,30,30,13
33,2022-07-30,34,In A Minute,Lil Baby,43,14,15
34,2022-07-30,35,Fall In Love,Bailey Zimmerman,37,35,12
35,2022-07-30,36,Hot Shit,"Cardi B, Ye & Lil Durk",34,13,3
36,2022-07-30,37,Like I Love Country Music,Kane Brown,26,26,9
37,2022-07-30,38,Enemy,Imagine Dragons X JID,36,5,35
38,2022-07-30,39,Damn Strait,Scotty McCreery,38,38,16
39,2022-07-30,40,Woman,Doja Cat,40,7,51
40,2022-07-30,41,Provenza,Karol G,39,25,13
41,2022-07-30,42,Rock And A Hard Place,Bailey Zimmerman,49,24,6
42,2022-07-30,43,Super Gremlin,Kodak Black,41,3,37
43,2022-07-30,44,Thats What I Want,Lil Nas X,44,8,44
44,2022-07-30,45,Efecto,Bad Bunny,47,34,11
45,2022-07-30,46,Take My Name,Parmalee,45,22,16
46,2022-07-30,47,Thousand Miles,The Kid LAROI,46,15,13
47,2022-07-30,48,What Happened To Virgil,Lil Durk Featuring Gunna,53,22,19
48,2022-07-30,49,Sweetest Pie,Megan Thee Stallion & Dua Lipa,54,15,19
49,2022-07-30,50,Master Of Puppets,Metallica,35,35,3
50,2022-07-30,51,Left And Right,Charlie Puth Featuring Jung Kook,51,22,4
51,2022-07-30,52,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,55,47,8
52,2022-07-30,53,2step,Ed Sheeran Featuring Lil Baby,48,48,13
53,2022-07-30,54,5 Foot 9,Tyler Hubbard,57,54,6
54,2022-07-30,55,Cooped Up,Post Malone Featuring Roddy Ricch,60,12,10
55,2022-07-30,56,Despues de La Playa,Bad Bunny,56,6,11
56,2022-07-30,57,Party,Bad Bunny & Rauw Alejandro,59,14,11
57,2022-07-30,58,Last Night Lonely,Jon Pardi,63,58,8
58,2022-07-30,59,Ojitos Lindos,Bad Bunny & Bomba Estereo,61,26,11
59,2022-07-30,60,Trouble With A Heartbreak,Jason Aldean,58,32,18
60,2022-07-30,61,Son Of A Sinner,Jelly Roll,72,61,3
61,2022-07-30,62,So Good,Halsey,65,55,6
62,2022-07-30,63,Betty (Get Money),Yung Gravy,68,63,2
63,2022-07-30,64,Puffin On Zootiez,Future,62,4,12
64,2022-07-30,65,Wishful Drinking,Ingrid Andress With Sam Hunt,69,65,3
65,2022-07-30,66,F.N.F. (Let's Go),Hitkidd & Glorilla,78,66,8
66,2022-07-30,67,Tarot,Bad Bunny & Jhay Cortez,71,18,11
67,2022-07-30,68,Flower Shops,ERNEST Featuring Morgan Wallen,73,64,26
68,2022-07-30,69,Numb,Marshmello & Khalid,76,69,3
69,2022-07-30,70,Massive,Drake,64,14,5
70,2022-07-30,71,New Truck,Dylan Scott,81,71,6
71,2022-07-30,72,Last Last,Burna Boy,86,72,2
72,2022-07-30,73,Love Me More,Sam Smith,79,73,7
73,2022-07-30,74,Silent Hill,Kendrick Lamar & Kodak Black,75,7,10
74,2022-07-30,75,Whiskey On You,Nate Smith,83,75,5
75,2022-07-30,76,Hotel Lobby (Unc And Phew),Quavo & Takeoff,77,59,9
76,2022-07-30,77,See Wat I'm Sayin,Moneybagg Yo,-,59,2
77,2022-07-30,78,Unstoppable,Sia,90,78,3
78,2022-07-30,79,Wild As Her,Corey Kent,82,79,5
79,2022-07-30,80,7500 OBO,Tim McGraw,66,66,8
80,2022-07-30,81,Thought You Should Know,Morgan Wallen,89,12,11
81,2022-07-30,82,Ghost Story,Carrie Underwood,96,61,9
82,2022-07-30,83,Best Thing Since Backroads,Jake Owen,-,83,2
83,2022-07-30,84,2 Be Loved (Am I Ready),Lizzo,-,84,1
84,2022-07-30,85,Truth About You,Mitchell Tenpenny,-,85,1
85,2022-07-30,86,Bones,Imagine Dragons,-,86,9
86,2022-07-30,87,She Likes It,Russell Dickerson & Jake Scott,92,63,16
87,2022-07-30,88,Plan B,Megan Thee Stallion,94,29,8
88,2022-07-30,89,All Mine,Brent Faiyaz,42,42,2
89,2022-07-30,90,Free Mind,Tems,-,90,1
90,2022-07-30,91,Un Ratito,Bad Bunny,95,16,11
91,2022-07-30,92,Until I Found You,Stephen Sanchez,-,92,3
92,2022-07-30,93,Bam Bam,Camila Cabello Featuring Ed Sheeran,85,21,20
93,2022-07-30,94,At The End Of A Bar,Chris Young With Mitchell Tenpenny,-,94,1
94,2022-07-30,95,Te Felicito,Shakira & Rauw Alejandro,100,67,7
95,2022-07-30,96,Arson,j-hope,-,96,1
96,2022-07-30,97,Right On,Lil Baby,-,13,14
97,2022-07-30,98,Cash In Cash Out,"Pharrell Williams Featuring 21 Savage & Tyler, The Creator",99,26,6
98,2022-07-30,99,La Corriente,Bad Bunny & Tony Dize,-,32,8
99,2022-07-30,100,Pick Me Up,Gabby Barrett,-,100,1
0,2022-08-06,1,About Damn Time,Lizzo,1,1,15
1,2022-08-06,2,As It Was,Harry Styles,2,1,17
2,2022-08-06,3,Running Up That Hill (A Deal With God),Kate Bush,3,3,29
3,2022-08-06,4,First Class,Jack Harlow,4,1,16
4,2022-08-06,5,Wait For U,Future Featuring Drake & Tems,5,1,13
5,2022-08-06,6,Break My Soul,Beyonce,7,6,6
6,2022-08-06,7,Late Night Talking,Harry Styles,9,4,10
7,2022-08-06,8,Me Porto Bonito,Bad Bunny & Chencho Corleone,6,6,12
8,2022-08-06,9,I Like You (A Happier Song),Post Malone Featuring Doja Cat,12,9,8
9,2022-08-06,10,Heat Waves,Glass Animals,8,1,80
10,2022-08-06,11,Bad Habit,Steve Lacy,14,11,4
11,2022-08-06,12,Sunroof,Nicky Youre & dazy,16,12,9
12,2022-08-06,13,Big Energy,Latto,11,3,40
13,2022-08-06,14,Wasted On You,Morgan Wallen,13,9,37
14,2022-08-06,15,Jimmy Cooks,Drake Featuring 21 Savage,10,1,6
15,2022-08-06,16,Titi Me Pregunto,Bad Bunny,15,5,12
16,2022-08-06,17,The Kind Of Love We Make,Luke Combs,17,13,6
17,2022-08-06,18,Stay,The Kid LAROI & Justin Bieber,18,1,55
18,2022-08-06,19,Numb Little Bug,Em Beihold,20,18,26
19,2022-08-06,20,Ghost,Justin Bieber,21,5,44
20,2022-08-06,21,Glimpse Of Us,Joji,19,8,7
21,2022-08-06,22,You Proof,Morgan Wallen,23,6,11
22,2022-08-06,23,Get Into It (Yuh),Doja Cat,22,20,34
23,2022-08-06,24,I Ain't Worried,OneRepublic,27,24,7
24,2022-08-06,25,She Had Me At Heads Carolina,Cole Swindell,26,25,9
25,2022-08-06,26,Moscow Mule,Bad Bunny,24,4,12
26,2022-08-06,27,Shivers,Ed Sheeran,28,4,46
27,2022-08-06,28,Vegas,Doja Cat,31,28,8
28,2022-08-06,29,Cold Heart (PNAU Remix),Elton John & Dua Lipa,29,7,47
29,2022-08-06,30,Like I Love Country Music,Kane Brown,37,26,10
30,2022-08-06,31,In A Minute,Lil Baby,34,14,16
31,2022-08-06,32,Damn Strait,Scotty McCreery,39,32,17
32,2022-08-06,33,Rock And A Hard Place,Bailey Zimmerman,42,24,7
33,2022-08-06,34,Provenza,Karol G,41,25,14
34,2022-08-06,35,Boyfriend,Dove Cameron,30,16,24
35,2022-08-06,36,Sticky,Drake,32,6,6
36,2022-08-06,37,Fall In Love,Bailey Zimmerman,35,35,13
37,2022-08-06,38,Enemy,Imagine Dragons X JID,38,5,36
38,2022-08-06,39,Super Gremlin,Kodak Black,43,3,38
39,2022-08-06,40,Last Night Lonely,Jon Pardi,58,40,9
40,2022-08-06,41,Something In The Orange,Zach Bryan,33,30,14
41,2022-08-06,42,Thats What I Want,Lil Nas X,44,8,45
42,2022-08-06,43,Woman,Doja Cat,40,7,52
43,2022-08-06,44,Efecto,Bad Bunny,45,34,12
44,2022-08-06,45,Hot Shit,"Cardi B, Ye & Lil Durk",36,13,4
45,2022-08-06,46,Take My Name,Parmalee,46,22,17
46,2022-08-06,47,Left And Right,Charlie Puth Featuring Jung Kook,51,22,5
47,2022-08-06,48,5 Foot 9,Tyler Hubbard,54,48,7
48,2022-08-06,49,Sweetest Pie,Megan Thee Stallion & Dua Lipa,49,15,20
49,2022-08-06,50,Thousand Miles,The Kid LAROI,47,15,14
50,2022-08-06,51,What Happened To Virgil,Lil Durk Featuring Gunna,48,22,20
51,2022-08-06,52,TV,Billie Eilish,-,52,1
52,2022-08-06,53,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,52,47,9
53,2022-08-06,54,Party,Bad Bunny & Rauw Alejandro,57,14,12
54,2022-08-06,55,Pressurelicious,Megan Thee Stallion Featuring Future,-,55,1
55,2022-08-06,56,Son Of A Sinner,Jelly Roll,61,56,4
56,2022-08-06,57,Cooped Up,Post Malone Featuring Roddy Ricch,55,12,11
57,2022-08-06,58,Despues de La Playa,Bad Bunny,56,6,12
58,2022-08-06,59,Betty (Get Money),Yung Gravy,63,59,3
59,2022-08-06,60,Numb,Marshmello & Khalid,69,60,4
60,2022-08-06,61,Wishful Drinking,Ingrid Andress With Sam Hunt,65,61,4
61,2022-08-06,62,So Good,Halsey,62,55,7
62,2022-08-06,63,Trouble With A Heartbreak,Jason Aldean,60,32,19
63,2022-08-06,64,Ojitos Lindos,Bad Bunny & Bomba Estereo,59,26,12
64,2022-08-06,65,Progress,John Rich,-,65,1
65,2022-08-06,66,F.N.F. (Let's Go),Hitkidd & Glorilla,66,66,9
66,2022-08-06,67,New Truck,Dylan Scott,71,67,7
67,2022-08-06,68,2step,Ed Sheeran Featuring Lil Baby,53,48,14
68,2022-08-06,69,Puffin On Zootiez,Future,64,4,13
69,2022-08-06,70,Last Last,Burna Boy,72,70,3
70,2022-08-06,71,Whiskey On You,Nate Smith,75,71,6
71,2022-08-06,72,Best Thing Since Backroads,Jake Owen,83,72,3
72,2022-08-06,73,Tarot,Bad Bunny & Jhay Cortez,67,18,12
73,2022-08-06,74,Unstoppable,Sia,78,74,4
74,2022-08-06,75,Wild As Her,Corey Kent,79,75,6
75,2022-08-06,76,Hotel Lobby (Unc And Phew),Quavo & Takeoff,76,59,10
76,2022-08-06,77,Free Mind,Tems,90,77,2
77,2022-08-06,78,Ghost Story,Carrie Underwood,82,61,10
78,2022-08-06,79,The 30th,Billie Eilish,-,79,1
79,2022-08-06,80,Bones,Imagine Dragons,86,80,10
80,2022-08-06,81,Massive,Drake,70,14,6
81,2022-08-06,82,Truth About You,Mitchell Tenpenny,85,82,2
82,2022-08-06,83,She Likes It,Russell Dickerson & Jake Scott,87,63,17
83,2022-08-06,84,Love Me More,Sam Smith,73,73,8
84,2022-08-06,85,Thought You Should Know,Morgan Wallen,81,12,12
85,2022-08-06,86,At The End Of A Bar,Chris Young With Mitchell Tenpenny,94,86,2
86,2022-08-06,87,Silent Hill,Kendrick Lamar & Kodak Black,74,7,11
87,2022-08-06,88,Until I Found You,Stephen Sanchez,92,88,4
88,2022-08-06,89,See Wat I'm Sayin,Moneybagg Yo,77,59,3
89,2022-08-06,90,With A Woman You Love,Justin Moore,-,90,1
90,2022-08-06,91,Love Lost,Mac Miller,-,91,1
91,2022-08-06,92,Plan B,Megan Thee Stallion,88,29,9
92,2022-08-06,93,Un Ratito,Bad Bunny,91,16,12
93,2022-08-06,94,Vette Motors,YoungBoy Never Broke Again,-,94,1
94,2022-08-06,95,Cash In Cash Out,"Pharrell Williams Featuring 21 Savage & Tyler, The Creator",98,26,7
95,2022-08-06,96,Te Felicito,Shakira & Rauw Alejandro,95,67,8
96,2022-08-06,97,Are You Entertained,Russ & Ed Sheeran,-,97,1
97,2022-08-06,98,"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,-,98,1
98,2022-08-06,99,Right On,Lil Baby,97,13,15
99,2022-08-06,100,La Corriente,Bad Bunny & Tony Dize,99,32,9
0,2022-08-13,1,Break My Soul,Beyonce,6,1,7
1,2022-08-13,2,About Damn Time,Lizzo,1,1,16
2,2022-08-13,3,As It Was,Harry Styles,2,1,18
3,2022-08-13,4,Running Up That Hill (A Deal With God),Kate Bush,3,3,30
4,2022-08-13,5,Wait For U,Future Featuring Drake & Tems,5,1,14
5,2022-08-13,6,First Class,Jack Harlow,4,1,17
6,2022-08-13,7,Bad Habit,Steve Lacy,11,7,5
7,2022-08-13,8,Me Porto Bonito,Bad Bunny & Chencho Corleone,8,6,13
8,2022-08-13,9,Sunroof,Nicky Youre & dazy,12,9,10
9,2022-08-13,10,Late Night Talking,Harry Styles,7,4,11
10,2022-08-13,11,I Like You (A Happier Song),Post Malone Featuring Doja Cat,9,9,9
11,2022-08-13,12,Heat Waves,Glass Animals,10,1,81
12,2022-08-13,13,Cuff It,Beyonce,-,13,1
13,2022-08-13,14,The Kind Of Love We Make,Luke Combs,17,13,7
14,2022-08-13,15,Wasted On You,Morgan Wallen,14,9,38
15,2022-08-13,16,Titi Me Pregunto,Bad Bunny,16,5,13
16,2022-08-13,17,Stay,The Kid LAROI & Justin Bieber,18,1,56
17,2022-08-13,18,Big Energy,Latto,13,3,41
18,2022-08-13,19,Alien Superstar,Beyonce,-,19,1
19,2022-08-13,20,Jimmy Cooks,Drake Featuring 21 Savage,15,1,7
20,2022-08-13,21,You Proof,Morgan Wallen,22,6,12
21,2022-08-13,22,Church Girl,Beyonce,-,22,1
22,2022-08-13,23,I Ain't Worried,OneRepublic,24,23,8
23,2022-08-13,24,Numb Little Bug,Em Beihold,19,18,27
24,2022-08-13,25,She Had Me At Heads Carolina,Cole Swindell,25,25,10
25,2022-08-13,26,I'm That Girl,Beyonce,-,26,1
26,2022-08-13,27,Energy,Beyonce Featuring BEAM,-,27,1
27,2022-08-13,28,Glimpse Of Us,Joji,21,8,8
28,2022-08-13,29,Ghost,Justin Bieber,20,5,45
29,2022-08-13,30,Cozy,Beyonce,-,30,1
30,2022-08-13,31,Get Into It (Yuh),Doja Cat,23,20,35
31,2022-08-13,32,Moscow Mule,Bad Bunny,26,4,13
32,2022-08-13,33,Shivers,Ed Sheeran,27,4,47
33,2022-08-13,34,Like I Love Country Music,Kane Brown,30,26,11
34,2022-08-13,35,Vegas,Doja Cat,28,28,9
35,2022-08-13,36,Cold Heart (PNAU Remix),Elton John & Dua Lipa,29,7,48
36,2022-08-13,37,In A Minute,Lil Baby,31,14,17
37,2022-08-13,38,5 Foot 9,Tyler Hubbard,48,38,8
38,2022-08-13,39,Sticky,Drake,36,6,7
39,2022-08-13,40,Rock And A Hard Place,Bailey Zimmerman,33,24,8
40,2022-08-13,41,Plastic Off The Sofa,Beyonce,-,41,1
41,2022-08-13,42,Fall In Love,Bailey Zimmerman,37,35,14
42,2022-08-13,43,Virgo's Groove,Beyonce,-,43,1
43,2022-08-13,44,Provenza,Karol G,34,25,15
44,2022-08-13,45,Something In The Orange,Zach Bryan,41,30,15
45,2022-08-13,46,Efecto,Bad Bunny,44,34,13
46,2022-08-13,47,Summer Renaissance,Beyonce,-,47,1
47,2022-08-13,48,Super Gremlin,Kodak Black,39,3,39
48,2022-08-13,49,Last Night Lonely,Jon Pardi,40,40,10
49,2022-08-13,50,Never Sleep,"NAV, Travis Scott & Lil Baby",-,50,1
50,2022-08-13,51,Heated,Beyonce,-,51,1
51,2022-08-13,52,Damn Strait,Scotty McCreery,32,32,18
52,2022-08-13,53,Thique,Beyonce,-,53,1
53,2022-08-13,54,Take My Name,Parmalee,46,22,18
54,2022-08-13,55,Move,Beyonce Featuring Grace Jones & Tems,-,55,1
55,2022-08-13,56,Hot Shit,"Cardi B, Ye & Lil Durk",45,13,5
56,2022-08-13,57,Left And Right,Charlie Puth Featuring Jung Kook,47,22,6
57,2022-08-13,58,Son Of A Sinner,Jelly Roll,56,56,5
58,2022-08-13,59,Party,Bad Bunny & Rauw Alejandro,54,14,13
59,2022-08-13,60,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,53,47,10
60,2022-08-13,61,Ojitos Lindos,Bad Bunny & Bomba Estereo,64,26,13
61,2022-08-13,62,F.N.F. (Let's Go),Hitkidd & Glorilla,66,62,10
62,2022-08-13,63,Numb,Marshmello & Khalid,60,60,5
63,2022-08-13,64,Pure/Honey,Beyonce,-,64,1
64,2022-08-13,65,Betty (Get Money),Yung Gravy,59,59,4
65,2022-08-13,66,New Truck,Dylan Scott,67,66,8
66,2022-08-13,67,Despues de La Playa,Bad Bunny,58,6,13
67,2022-08-13,68,So Good,Halsey,62,55,8
68,2022-08-13,69,America Has A Problem,Beyonce,-,69,1
69,2022-08-13,70,All Up In Your Mind,Beyonce,-,70,1
70,2022-08-13,71,Wishful Drinking,Ingrid Andress With Sam Hunt,61,61,5
71,2022-08-13,72,Trouble With A Heartbreak,Jason Aldean,63,32,20
72,2022-08-13,73,Cooped Up,Post Malone Featuring Roddy Ricch,57,12,12
73,2022-08-13,74,Tarot,Bad Bunny & Jhay Cortez,73,18,13
74,2022-08-13,75,Last Last,Burna Boy,70,70,4
75,2022-08-13,76,Wild As Her,Corey Kent,75,75,7
76,2022-08-13,77,Free Mind,Tems,77,77,3
77,2022-08-13,78,Unstoppable,Sia,74,74,5
78,2022-08-13,79,Puffin On Zootiez,Future,69,4,14
79,2022-08-13,80,Truth About You,Mitchell Tenpenny,82,80,3
80,2022-08-13,81,Whiskey On You,Nate Smith,71,71,7
81,2022-08-13,82,With A Woman You Love,Justin Moore,90,82,2
82,2022-08-13,83,Victoria’s Secret,Jax,-,83,1
83,2022-08-13,84,Bones,Imagine Dragons,80,80,11
84,2022-08-13,85,She Likes It,Russell Dickerson & Jake Scott,83,63,18
85,2022-08-13,86,At The End Of A Bar,Chris Young With Mitchell Tenpenny,86,86,3
86,2022-08-13,87,Hotel Lobby (Unc And Phew),Quavo & Takeoff,76,59,11
87,2022-08-13,88,Pick Me Up,Gabby Barrett,-,88,2
88,2022-08-13,89,Dah Dah DahDah,Nardo Wick,-,89,1
89,2022-08-13,90,Thousand Miles,The Kid LAROI,50,15,15
90,2022-08-13,91,Ghost Story,Carrie Underwood,78,61,11
91,2022-08-13,92,Love Me More,Sam Smith,84,73,9
92,2022-08-13,93,Thought You Should Know,Morgan Wallen,85,12,13
93,2022-08-13,94,2step,Ed Sheeran Featuring Lil Baby,68,48,15
94,2022-08-13,95,Massive,Drake,81,14,7
95,2022-08-13,96,Until I Found You,Stephen Sanchez,88,88,5
96,2022-08-13,97,Un Ratito,Bad Bunny,93,16,13
97,2022-08-13,98,Best Thing Since Backroads,Jake Owen,72,72,4
98,2022-08-13,99,La Corriente,Bad Bunny & Tony Dize,100,32,10
99,2022-08-13,100,"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,98,98,2
0,2022-08-20,1,Break My Soul,Beyonce,1,1,8
1,2022-08-20,2,As It Was,Harry Styles,3,1,19
2,2022-08-20,3,About Damn Time,Lizzo,2,1,17
3,2022-08-20,4,Running Up That Hill (A Deal With God),Kate Bush,4,3,31
4,2022-08-20,5,Staying Alive,DJ Khaled Featuring Drake & Lil Baby,-,5,1
5,2022-08-20,6,Bad Habit,Steve Lacy,7,6,6
6,2022-08-20,7,Wait For U,Future Featuring Drake & Tems,5,1,15
7,2022-08-20,8,Sunroof,Nicky Youre & dazy,9,8,11
8,2022-08-20,9,First Class,Jack Harlow,6,1,18
9,2022-08-20,10,Bad Decisions,"benny blanco, BTS & Snoop Dogg",-,10,1
10,2022-08-20,11,Me Porto Bonito,Bad Bunny & Chencho Corleone,8,6,14
11,2022-08-20,12,Late Night Talking,Harry Styles,10,4,12
12,2022-08-20,13,I Like You (A Happier Song),Post Malone Featuring Doja Cat,11,9,10
13,2022-08-20,14,Heat Waves,Glass Animals,12,1,82
14,2022-08-20,15,The Kind Of Love We Make,Luke Combs,14,13,8
15,2022-08-20,16,Titi Me Pregunto,Bad Bunny,16,5,14
16,2022-08-20,17,Wasted On You,Morgan Wallen,15,9,39
17,2022-08-20,18,You Proof,Morgan Wallen,21,6,13
18,2022-08-20,19,I Ain't Worried,OneRepublic,23,19,9
19,2022-08-20,20,Stay,The Kid LAROI & Justin Bieber,17,1,57
20,2022-08-20,21,Big Energy,Latto,18,3,42
21,2022-08-20,22,She Had Me At Heads Carolina,Cole Swindell,25,22,11
22,2022-08-20,23,Jimmy Cooks,Drake Featuring 21 Savage,20,1,8
23,2022-08-20,24,Glimpse Of Us,Joji,28,8,9
24,2022-08-20,25,Ghost,Justin Bieber,29,5,46
25,2022-08-20,26,Moscow Mule,Bad Bunny,32,4,14
26,2022-08-20,27,Numb Little Bug,Em Beihold,24,18,28
27,2022-08-20,28,Like I Love Country Music,Kane Brown,34,26,12
28,2022-08-20,29,Shivers,Ed Sheeran,33,4,48
29,2022-08-20,30,5 Foot 9,Tyler Hubbard,38,30,9
30,2022-08-20,31,Vegas,Doja Cat,35,28,10
31,2022-08-20,32,In A Minute,Lil Baby,37,14,18
32,2022-08-20,33,Get Into It (Yuh),Doja Cat,31,20,36
33,2022-08-20,34,Cold Heart (PNAU Remix),Elton John & Dua Lipa,36,7,49
34,2022-08-20,35,Rock And A Hard Place,Bailey Zimmerman,40,24,9
35,2022-08-20,36,Sticky,Drake,39,6,8
36,2022-08-20,37,Umm Hmm,YoungBoy Never Broke Again,-,37,1
37,2022-08-20,38,Fall In Love,Bailey Zimmerman,42,35,15
38,2022-08-20,39,Last Night Lonely,Jon Pardi,49,39,11
39,2022-08-20,40,Efecto,Bad Bunny,46,34,14
40,2022-08-20,41,Provenza,Karol G,44,25,16
41,2022-08-20,42,Something In The Orange,Zach Bryan,45,30,16
42,2022-08-20,43,Alien Superstar,Beyonce,19,19,2
43,2022-08-20,44,Super Gremlin,Kodak Black,48,3,40
44,2022-08-20,45,Betty (Get Money),Yung Gravy,65,45,5
45,2022-08-20,46,I Know,YoungBoy Never Broke Again,-,46,1
46,2022-08-20,47,Home Ain't Home,YoungBoy Never Broke Again Featuring Rod Wave,-,47,1
47,2022-08-20,48,Left And Right,Charlie Puth Featuring Jung Kook,57,22,7
48,2022-08-20,49,F.N.F. (Let's Go),Hitkidd & GloRilla,62,49,11
49,2022-08-20,50,Cuff It,Beyonce,13,13,2
50,2022-08-20,51,Son Of A Sinner,Jelly Roll,58,51,6
51,2022-08-20,52,Damn Strait,Scotty McCreery,52,32,19
52,2022-08-20,53,Hot Shit,"Cardi B, Ye & Lil Durk",56,13,6
53,2022-08-20,54,Take My Name,Parmalee,54,22,19
54,2022-08-20,55,Party,Bad Bunny & Rauw Alejandro,59,14,14
55,2022-08-20,56,Numb,Marshmello & Khalid,63,56,6
56,2022-08-20,57,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,60,47,11
57,2022-08-20,58,Ojitos Lindos,Bad Bunny & Bomba Estereo,61,26,14
58,2022-08-20,59,So Good,Halsey,68,55,9
59,2022-08-20,60,Despues de La Playa,Bad Bunny,67,6,14
60,2022-08-20,61,New Truck,Dylan Scott,66,61,9
61,2022-08-20,62,Vette Motors,YoungBoy Never Broke Again,-,62,2
62,2022-08-20,63,Fuck Da Industry,YoungBoy Never Broke Again,-,63,1
63,2022-08-20,64,Free Mind,Tems,77,64,4
64,2022-08-20,65,Whiskey On You,Nate Smith,81,65,8
65,2022-08-20,66,Victoria’s Secret,Jax,83,66,2
66,2022-08-20,67,Church Girl,Beyonce,22,22,2
67,2022-08-20,68,Free Dem 5's,YoungBoy Never Broke Again,-,68,1
68,2022-08-20,69,Unstoppable,Sia,78,69,6
69,2022-08-20,70,Bones,Imagine Dragons,84,70,12
70,2022-08-20,71,Tarot,Bad Bunny & Jhay Cortez,74,18,14
71,2022-08-20,72,Wishful Drinking,Ingrid Andress With Sam Hunt,71,61,6
72,2022-08-20,73,Last Last,Burna Boy,75,70,5
73,2022-08-20,74,Dah Dah DahDah,Nardo Wick,89,74,2
